source,chunk_id,text,chunk_length
account.md,0,"# Account Support

## Creating an Account

Customers can create an account by providing their email address and choosing a secure password. The email address should be valid and accessible because it may be required for account verification.

## Account Verification

If an account requires verification, customers should check their email for the verification message. They should also check their spam or junk folder if the message is not visible in the inbox.

## Forgot Password

Customers who fo",500
account.md,1,"pam or junk folder if the message is not visible in the inbox.

## Forgot Password

Customers who forget their password should use the password reset option on the sign-in page. A password reset link will be sent to the registered email address.

## Password Reset Email Not Received

If the password reset email does not arrive, customers should check their spam or junk folder and confirm that they entered the correct email address. If the email is still not received, they should contact customer",500
account.md,2,"entered the correct email address. If the email is still not received, they should contact customer support.

## Change Account Email

Customers who need to change the email associated with their account should contact customer support. Support may request account information to verify ownership before making the change.

## Account Locked

An account may be temporarily locked after multiple unsuccessful login attempts. Customers should wait before trying again or contact customer support if th",499
account.md,3,"ccessful login attempts. Customers should wait before trying again or contact customer support if they cannot regain access.

## Close an Account

Customers who want to close their account should contact customer support. Account closure may be permanent, so customers should confirm that they no longer need the account before requesting closure.",347
billing.md,0,"# Billing Support

## Billing Cycle

Customers are charged according to their selected billing plan. The billing date may vary depending on when the subscription was started.

## Unexpected Charge

If a customer notices an unexpected charge, they should review their billing history and verify whether the charge is related to an active subscription or recent purchase.

If the charge cannot be identified, the customer should contact support with the transaction details.

## Duplicate Charge

If a",499
billing.md,1,"ified, the customer should contact support with the transaction details.

## Duplicate Charge

If a customer believes they were charged twice for the same transaction, they should check their payment history first. If two completed charges are present for the same purchase, they should contact support with the transaction details.

## Invoice

Customers can request or access their invoice through their account billing section. If an invoice is missing or contains incorrect information, they shou",500
billing.md,2,"their account billing section. If an invoice is missing or contains incorrect information, they should contact customer support.

## Billing Information

Customers who need to update their billing information should use the billing settings available in their account. If they cannot update the information, they should contact customer support.

## Subscription Renewal

Subscriptions may renew automatically according to the customer's selected plan. Customers should review their subscription sett",500
billing.md,3,"matically according to the customer's selected plan. Customers should review their subscription settings to understand their renewal date and billing amount.

## Billing Dispute

Customers who believe a billing charge is incorrect should contact customer support and provide the relevant transaction information so the issue can be investigated.",345
payments.md,0,"# Payment Support

## Payment Failed

If a payment fails, customers should verify that their payment method has sufficient funds and that the billing information is correct.

Customers can try the payment again after checking their payment details. If the payment continues to fail, they should contact customer support.

## Payment Declined

A payment may be declined by the payment provider because of insufficient funds, incorrect payment information, or security restrictions.

Customers should v",500
payments.md,1,"of insufficient funds, incorrect payment information, or security restrictions.

Customers should verify their payment details and contact their bank or payment provider if necessary.

## Payment Pending

If a payment remains pending, customers should wait for the payment status to update. Customers should avoid submitting the same payment repeatedly while the original transaction is still pending.

If the payment remains pending for an extended period, they should contact customer support with",499
payments.md,2,"g.

If the payment remains pending for an extended period, they should contact customer support with the transaction details.

## Payment Reversed

A payment may be reversed if the transaction could not be completed successfully. Customers should check their payment history to confirm the current status.

If the amount has not been returned after the expected processing period, customers should contact support.

## Payment Method

Customers can use the payment methods supported by the service. A",500
payments.md,3,"ntact support.

## Payment Method

Customers can use the payment methods supported by the service. Available payment methods may vary depending on the customer's location and account.

## Card Payment

If a card payment fails, customers should verify the card number, expiration date, security code, billing information, and available funds.

## Payment Security

Customers should never share their password, card security code, or other sensitive payment credentials with support agents.

If a custo",500
payments.md,4,"assword, card security code, or other sensitive payment credentials with support agents.

If a customer notices suspicious payment activity, they should contact their payment provider and customer support immediately.",217
refunds.md,0,"# Refund Support

## Refund Eligibility

Refund eligibility depends on the type of purchase and the applicable refund policy. Customers should contact support if they are unsure whether a purchase qualifies for a refund.

## Request a Refund

Customers who want to request a refund should contact customer support and provide the relevant order or transaction details.

Support will review the request and determine whether the transaction qualifies for a refund.

## Refund Processing

After a refun",500
refunds.md,1,"t and determine whether the transaction qualifies for a refund.

## Refund Processing

After a refund is approved, the processing time may depend on the payment method and financial institution.

Customers should allow the required processing time before contacting support about a missing refund.

## Refund Not Received

If a customer has been informed that a refund was processed but the amount has not appeared, they should check their payment account and allow the expected processing period.

I",500
refunds.md,2,"s not appeared, they should check their payment account and allow the expected processing period.

If the refund is still missing after that period, they should contact support with the refund or transaction details.

## Partial Refund

A partial refund may be issued when only part of an order or service qualifies for a refund.

Customers should contact support if they believe the refunded amount is incorrect.

## Cancelled Order Refund

If an order is cancelled and qualifies for a refund, the r",500
